[2026-02-17T08:23:02.365Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:02.444Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:02.469Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:02.485Z] AUTH SUCCESS: Role: admin | Path: /api/expenses/summary?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:02.492Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:10.748Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:23:10.754Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:10.760Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:23:10.778Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:23:10.794Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:10.820Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:23:21.286Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:21.292Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:21.303Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:21.327Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:21.334Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:21.370Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.635Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:32.662Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.679Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.689Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.700Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:32.723Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.742Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:32.749Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.173Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:41.188Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.204Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.214Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.221Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:41.245Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.259Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:41.280Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.481Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:42.491Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.498Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.506Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.545Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:42.559Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.584Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:42.600Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.054Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.061Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.069Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.093Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.115Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:55.127Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:23:56.663Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:23:56.670Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:23:56.677Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:23:56.695Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:04.833Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:04.838Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:04.844Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:04.872Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:04.879Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:04.913Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:13.489Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:24:13.496Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:13.507Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:24:13.514Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:16.797Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:16.812Z] AUTH SUCCESS: Role: admin | Path: /api/attendance?date=2026-02-17&salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:18.618Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:18.635Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:20.107Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:20.113Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:20.123Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:20.157Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:22.136Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:24:22.146Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:24:22.155Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:22.171Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:24:22.177Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:22.212Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:24:23.970Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:23.980Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:23.985Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:24.004Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:24.031Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:24.040Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:26.967Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:26.978Z] AUTH SUCCESS: Role: admin | Path: /api/expenses?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:28.708Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:24:28.720Z] AUTH SUCCESS: Role: admin | Path: /api/adminProfile/profile
[2026-02-17T08:24:32.188Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:32.198Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:32.213Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:32.220Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.082Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.091Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.099Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.112Z] AUTH SUCCESS: Role: admin | Path: /api/categories?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.135Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:36.144Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:24:42.655Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:24:42.661Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:42.667Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:24:42.683Z] AUTH SUCCESS: Role: admin | Path: /api/plans
[2026-02-17T08:24:42.694Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:24:42.716Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:31:59.295Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:31:59.309Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:05.210Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:05.232Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:07.162Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:07.169Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:07.189Z] AUTH SUCCESS: Role: admin | Path: /api/staff?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:07.206Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:13.660Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:13.667Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:13.682Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:13.689Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-17T08:32:47.247Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:32:47.256Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:32:47.266Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:32:47.277Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-17T08:33:03.417Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:33:03.428Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
[2026-02-17T08:33:03.436Z] AUTH SUCCESS: Role: admin | Path: /api/salons/get
[2026-02-17T08:33:03.452Z] AUTH SUCCESS: Role: admin | Path: /api/plans/selection
